incident_id,incident_name,corrupted_asset_id,cve_id,description,implications,critical,cve_description,base_score,base_severity,attack_vector,attack_complexity,privileges_required,user_interaction,exploitability_score,impact_score,weakness_type,weakness_description,configuration_vulnerable,confidentiality,integrity,availability,,,,
7,Exploitation of Communication Protocols (FlexRay/Ethernet),0,CVE-2020-1982,An attacker exploits weaknesses in the FlexRay or Ethernet communication protocols to send malformed or malicious messages to the FZS Steuergerät.,"Malformed messages could cause unexpected behavior in the vehicle’s control system, including altering the behavior of the FZS Steuergerät or other ECUs that rely on this data.",0,"Certain communication between PAN-OS and cloud-delivered services inadvertently use TLS 1.0, which is known to be a cryptographically weak protocol. These cloud services include Cortex Data Lake, the Customer Support Portal, and the Prisma Access infrastructure. Conditions required for exploitation of known TLS 1.0 weaknesses do not exist for the communication between PAN-OS and cloud-delivered services. We do not believe that any communication is impacted as a result of known attacks against TLS 1.0. This issue impacts: All versions of PAN-OS 8.0; PAN-OS 8.1 versions earlier than PAN-OS 8.1.14; PAN-OS 9.0 versions earlier than PAN-OS 9.0.9; PAN-OS 9.1 versions earlier than PAN-OS 9.1.3. PAN-OS 7.1 is not impacted by this issue.",4.8,MEDIUM,NETWORK,HIGH,NONE,NONE,2.2,2.5,Secondary,CWE-326,True,1,1,0,,,,
7,Exploitation of Communication Protocols (FlexRay/Ethernet),0,CVE-2020-1982,An attacker exploits weaknesses in the FlexRay or Ethernet communication protocols to send malformed or malicious messages to the FZS Steuergerät.,"Malformed messages could cause unexpected behavior in the vehicle’s control system, including altering the behavior of the FZS Steuergerät or other ECUs that rely on this data.",0,"Certain communication between PAN-OS and cloud-delivered services inadvertently use TLS 1.0, which is known to be a cryptographically weak protocol. These cloud services include Cortex Data Lake, the Customer Support Portal, and the Prisma Access infrastructure. Conditions required for exploitation of known TLS 1.0 weaknesses do not exist for the communication between PAN-OS and cloud-delivered services. We do not believe that any communication is impacted as a result of known attacks against TLS 1.0. This issue impacts: All versions of PAN-OS 8.0; PAN-OS 8.1 versions earlier than PAN-OS 8.1.14; PAN-OS 9.0 versions earlier than PAN-OS 9.0.9; PAN-OS 9.1 versions earlier than PAN-OS 9.1.3. PAN-OS 7.1 is not impacted by this issue.",4.8,MEDIUM,NETWORK,HIGH,NONE,NONE,2.2,2.5,Secondary,CWE-326,True,1,1,0,,,,
8,Unauthorized Access to Boot/Shutdown Functions,24,CVE-2015-4051,"An attacker gains unauthorized access to the boot or shutdown functions of the FZS Steuergerät, potentially allowing them to modify or bypass normal shutdown sequences, which could leave the vehicle in an unsafe state.","If an attacker can interfere with the shutdown process, they may cause partial system failures or prevent essential safety systems from deactivating correctly, leading to vehicle malfunction or unsafe conditions.",0,,,,,,,,,,,,,,,,,,,
9,Denial of Service (DoS) Attack on Boot/Shutdown Sequence,24,CVE-2024-5208,"An attacker floods the boot or shutdown communication channels with invalid requests, preventing the ECU from properly initiating or terminating, thus leading to system instability.","Disruption of the boot or shutdown process can cause the ECU or vehicle system to be unable to start or properly shut down, leading to service unavailability or potential damage to the ECU or related systems.",0,"An uncontrolled resource consumption vulnerability exists in the `upload-link` endpoint of mintplex-labs/anything-llm. This vulnerability allows attackers to cause a denial of service (DOS) by shutting down the server through sending invalid upload requests. Specifically, the server can be made to shut down by sending an empty body with a 'Content-Length: 0' header or by sending a body with arbitrary content, such as 'asdasdasd', with a 'Content-Length: 9' header. The vulnerability is reproducible by users with at least a 'Manager' role, sending a crafted request to any workspace. This issue indicates that a previous fix was not effective in mitigating the vulnerability.",6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,3.6,Secondary,CWE-400,False,0,0,1,,,,
10,Malicious Code Execution during Boot/Shutdown,24,CVE-2023-40547,"Exploitation of vulnerabilities within the firmware or software that controls the boot and shutdown process, allowing an attacker to execute arbitrary code on the FZS Steuergerät during system startup or shutdown.","Exploitation of firmware vulnerabilities can allow an attacker to inject malicious code that could alter the vehicle's control logic, damage the software stack, or allow further attacks on the vehicle's security.",0,"A remote code execution vulnerability was found in Shim. The Shim boot support trusts attacker-controlled values when parsing an HTTP response. This flaw allows an attacker to craft a specific malicious HTTP request, leading to a completely controlled out-of-bounds write primitive and complete system compromise. This flaw is only exploitable during the early boot phase, an attacker needs to perform a Man-in-the-Middle or compromise the boot server to be able to exploit this vulnerability successfully.",8.3,HIGH,ADJACENT_NETWORK,HIGH,NONE,NONE,1.6,6,Primary,CWE-787,True,1,1,1,,,,
10,Malicious Code Execution during Boot/Shutdown,24,CVE-2023-40547,"Exploitation of vulnerabilities within the firmware or software that controls the boot and shutdown process, allowing an attacker to execute arbitrary code on the FZS Steuergerät during system startup or shutdown.","Exploitation of firmware vulnerabilities can allow an attacker to inject malicious code that could alter the vehicle's control logic, damage the software stack, or allow further attacks on the vehicle's security.",0,"A remote code execution vulnerability was found in Shim. The Shim boot support trusts attacker-controlled values when parsing an HTTP response. This flaw allows an attacker to craft a specific malicious HTTP request, leading to a completely controlled out-of-bounds write primitive and complete system compromise. This flaw is only exploitable during the early boot phase, an attacker needs to perform a Man-in-the-Middle or compromise the boot server to be able to exploit this vulnerability successfully.",8.3,HIGH,ADJACENT_NETWORK,HIGH,NONE,NONE,1.6,6,Primary,CWE-787,True,1,1,1,,,,
11,Exploitation of Boot/Shutdown Communication Protocols,24,CVE-2020-10283,"Exploitation of vulnerabilities in the communication protocols (FlexRay/Ethernet) used during the boot or shutdown processes, allowing an attacker to inject malformed or malicious messages that interfere with ECU initialization.","Malicious messages could disrupt the normal boot or shutdown procedure, causing the vehicle to malfunction or fail to initialize critical systems such as sensors and safety controls.",0,"The Micro Air Vehicle Link (MAVLink) protocol presents authentication mechanisms on its version 2.0 however according to its documentation, in order to maintain backwards compatibility, GCS and autopilot negotiate the version via the AUTOPILOT_VERSION message. Since this negotiation depends on the answer, an attacker may craft packages in a way that hints the autopilot to adopt version 1.0 of MAVLink for the communication. Given the lack of authentication capabilities in such version of MAVLink (refer to CVE-2020-10282), attackers may use this method to bypass authentication capabilities and interact with the autopilot directly.",9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,5.9,Secondary,CWE-288,True,1,1,1,,,,
12,Man-in-the-Middle Attack during Boot/Shutdown,24,CVE-2023-40547,"An attacker intercepts and potentially alters the communication between the FZS Steuergerät and other components during the boot or shutdown process, compromising the integrity of the shutdown sequence.","Manipulation of data during boot or shutdown could lead to unauthorized system states, incorrect ECU startup sequences, or altered communication with other ECUs, leading to unsafe vehicle conditions.",0,"A remote code execution vulnerability was found in Shim. The Shim boot support trusts attacker-controlled values when parsing an HTTP response. This flaw allows an attacker to craft a specific malicious HTTP request, leading to a completely controlled out-of-bounds write primitive and complete system compromise. This flaw is only exploitable during the early boot phase, an attacker needs to perform a Man-in-the-Middle or compromise the boot server to be able to exploit this vulnerability successfully.",8.3,HIGH,ADJACENT_NETWORK,HIGH,NONE,NONE,1.6,6,Primary,CWE-787,True,1,1,1,,,,
12,Man-in-the-Middle Attack during Boot/Shutdown,24,CVE-2023-40547,"An attacker intercepts and potentially alters the communication between the FZS Steuergerät and other components during the boot or shutdown process, compromising the integrity of the shutdown sequence.","Manipulation of data during boot or shutdown could lead to unauthorized system states, incorrect ECU startup sequences, or altered communication with other ECUs, leading to unsafe vehicle conditions.",0,"A remote code execution vulnerability was found in Shim. The Shim boot support trusts attacker-controlled values when parsing an HTTP response. This flaw allows an attacker to craft a specific malicious HTTP request, leading to a completely controlled out-of-bounds write primitive and complete system compromise. This flaw is only exploitable during the early boot phase, an attacker needs to perform a Man-in-the-Middle or compromise the boot server to be able to exploit this vulnerability successfully.",8.3,HIGH,ADJACENT_NETWORK,HIGH,NONE,NONE,1.6,6,Primary,CWE-787,True,1,1,1,,,,
13,Physical Attack on Boot/Shutdown Components,24,CVE-2022-30316,"An attacker physically damages or tamper with the ECU components or communication modules involved in the boot or shutdown process, disrupting the correct operation of the FZS Steuergerät.","Physical tampering can prevent the vehicle from starting or shutting down correctly, potentially leading to the ECU being permanently disabled or causing data corruption during the process.",0,"Honeywell Experion PKS Safety Manager 5.02 has Insufficient Verification of Data Authenticity. According to FSCT-2022-0054, there is a Honeywell Experion PKS Safety Manager unauthenticated firmware update issue. The affected components are characterized as: Firmware update functionality. The potential impact is: Firmware manipulation. The Honeywell Experion PKS Safety Manager utilizes the DCOM-232/485 communication FTA serial interface and Enea POLO bootloader for firmware management purposes. An engineering workstation running the Safety Builder software communicates via serial or serial-over-ethernet link with the DCOM-232/485 interface. Firmware images were found to have no authentication (in the form of firmware signing) and only relied on insecure checksums for regular integrity checks. Firmware images are unsigned. An attacker with access to the serial interface (either through physical access, a compromised EWS or an exposed serial-to-ethernet gateway) can utilize hardcoded credentials (see FSCT-2022-0052) for the POLO bootloader to control the boot process and push malicious firmware images to the controller allowing for firmware manipulation, remote code execution and denial of service impacts. A mitigating factor is that in order for a firmware update to be initiated, the Safety Manager has to be rebooted which is typically done by means of physical controls on the Safety Manager itself. As such, an attacker would have to either lay dormant until a legitimate reboot occurs or possibly attempt to force a reboot through a secondary vulnerability.",6.8,MEDIUM,PHYSICAL,LOW,NONE,NONE,0.9,5.9,Primary,CWE-354,True,1,1,1,,,,
13,Physical Attack on Boot/Shutdown Components,24,CVE-2022-30316,"An attacker physically damages or tamper with the ECU components or communication modules involved in the boot or shutdown process, disrupting the correct operation of the FZS Steuergerät.","Physical tampering can prevent the vehicle from starting or shutting down correctly, potentially leading to the ECU being permanently disabled or causing data corruption during the process.",0,"Honeywell Experion PKS Safety Manager 5.02 has Insufficient Verification of Data Authenticity. According to FSCT-2022-0054, there is a Honeywell Experion PKS Safety Manager unauthenticated firmware update issue. The affected components are characterized as: Firmware update functionality. The potential impact is: Firmware manipulation. The Honeywell Experion PKS Safety Manager utilizes the DCOM-232/485 communication FTA serial interface and Enea POLO bootloader for firmware management purposes. An engineering workstation running the Safety Builder software communicates via serial or serial-over-ethernet link with the DCOM-232/485 interface. Firmware images were found to have no authentication (in the form of firmware signing) and only relied on insecure checksums for regular integrity checks. Firmware images are unsigned. An attacker with access to the serial interface (either through physical access, a compromised EWS or an exposed serial-to-ethernet gateway) can utilize hardcoded credentials (see FSCT-2022-0052) for the POLO bootloader to control the boot process and push malicious firmware images to the controller allowing for firmware manipulation, remote code execution and denial of service impacts. A mitigating factor is that in order for a firmware update to be initiated, the Safety Manager has to be rebooted which is typically done by means of physical controls on the Safety Manager itself. As such, an attacker would have to either lay dormant until a legitimate reboot occurs or possibly attempt to force a reboot through a secondary vulnerability.",6.8,MEDIUM,PHYSICAL,LOW,NONE,NONE,0.9,5.9,Primary,CWE-354,True,1,1,1,,,,
13,Physical Attack on Boot/Shutdown Components,24,CVE-2022-30316,"An attacker physically damages or tamper with the ECU components or communication modules involved in the boot or shutdown process, disrupting the correct operation of the FZS Steuergerät.","Physical tampering can prevent the vehicle from starting or shutting down correctly, potentially leading to the ECU being permanently disabled or causing data corruption during the process.",0,"Honeywell Experion PKS Safety Manager 5.02 has Insufficient Verification of Data Authenticity. According to FSCT-2022-0054, there is a Honeywell Experion PKS Safety Manager unauthenticated firmware update issue. The affected components are characterized as: Firmware update functionality. The potential impact is: Firmware manipulation. The Honeywell Experion PKS Safety Manager utilizes the DCOM-232/485 communication FTA serial interface and Enea POLO bootloader for firmware management purposes. An engineering workstation running the Safety Builder software communicates via serial or serial-over-ethernet link with the DCOM-232/485 interface. Firmware images were found to have no authentication (in the form of firmware signing) and only relied on insecure checksums for regular integrity checks. Firmware images are unsigned. An attacker with access to the serial interface (either through physical access, a compromised EWS or an exposed serial-to-ethernet gateway) can utilize hardcoded credentials (see FSCT-2022-0052) for the POLO bootloader to control the boot process and push malicious firmware images to the controller allowing for firmware manipulation, remote code execution and denial of service impacts. A mitigating factor is that in order for a firmware update to be initiated, the Safety Manager has to be rebooted which is typically done by means of physical controls on the Safety Manager itself. As such, an attacker would have to either lay dormant until a legitimate reboot occurs or possibly attempt to force a reboot through a secondary vulnerability.",6.8,MEDIUM,PHYSICAL,LOW,NONE,NONE,0.9,5.9,Primary,CWE-354,True,1,1,1,,,,
13,Physical Attack on Boot/Shutdown Components,24,CVE-2022-30316,"An attacker physically damages or tamper with the ECU components or communication modules involved in the boot or shutdown process, disrupting the correct operation of the FZS Steuergerät.","Physical tampering can prevent the vehicle from starting or shutting down correctly, potentially leading to the ECU being permanently disabled or causing data corruption during the process.",0,"Honeywell Experion PKS Safety Manager 5.02 has Insufficient Verification of Data Authenticity. According to FSCT-2022-0054, there is a Honeywell Experion PKS Safety Manager unauthenticated firmware update issue. The affected components are characterized as: Firmware update functionality. The potential impact is: Firmware manipulation. The Honeywell Experion PKS Safety Manager utilizes the DCOM-232/485 communication FTA serial interface and Enea POLO bootloader for firmware management purposes. An engineering workstation running the Safety Builder software communicates via serial or serial-over-ethernet link with the DCOM-232/485 interface. Firmware images were found to have no authentication (in the form of firmware signing) and only relied on insecure checksums for regular integrity checks. Firmware images are unsigned. An attacker with access to the serial interface (either through physical access, a compromised EWS or an exposed serial-to-ethernet gateway) can utilize hardcoded credentials (see FSCT-2022-0052) for the POLO bootloader to control the boot process and push malicious firmware images to the controller allowing for firmware manipulation, remote code execution and denial of service impacts. A mitigating factor is that in order for a firmware update to be initiated, the Safety Manager has to be rebooted which is typically done by means of physical controls on the Safety Manager itself. As such, an attacker would have to either lay dormant until a legitimate reboot occurs or possibly attempt to force a reboot through a secondary vulnerability.",6.8,MEDIUM,PHYSICAL,LOW,NONE,NONE,0.9,5.9,Primary,CWE-354,True,1,1,1,,,,
14,Buffer Overflow or Code Injection during Boot,24,CVE-2024-37569,"Exploitation of buffer overflow vulnerabilities in the boot process software, allowing an attacker to inject malicious code or overflow the buffer to execute arbitrary commands.","Buffer overflow or code injection attacks could lead to arbitrary control over the FZS Steuergerät during boot, allowing the attacker to alter the vehicle's boot procedure or compromise its firmware.",0,"An issue was discovered on Mitel 6869i through 4.5.0.41 and 5.x through 5.0.0.1018 devices. A command injection vulnerability exists in the hostname parameter taken in by the provis.html endpoint. The provis.html endpoint performs no sanitization on the hostname parameter (sent by an authenticated user), which is subsequently written to disk. During boot, the hostname parameter is executed as part of a series of shell commands. Attackers can achieve remote code execution in the root context by placing shell metacharacters in the hostname parameter.",8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,5.9,Primary,CWE-77,True,1,1,1,,,,
15,Exploitation of Bootloader Vulnerability,24,CVE-2023-52111,"Attackers exploit weaknesses in the bootloader of the vehicle, allowing them to gain control during system initialization, potentially bypassing security checks or initiating unauthorized commands.","Compromising the bootloader could allow an attacker to take control of the vehicle system at startup, affecting vehicle functionality and security.",0,Authorization vulnerability in the BootLoader module. Successful exploitation of this vulnerability may affect service integrity.,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,3.6,Secondary,CWE-287,True,0,1,0,,,,
16,Unauthorized Access to Vehicle Dynamics Data,25,CVE-2024-38166,"An attacker gains unauthorized access to the Zustand Dynamikmodul, potentially manipulating vehicle dynamics data, which could lead to unsafe vehicle control decisions.","Unauthorized access to vehicle dynamics could lead to misinterpretation of vehicle behavior, affecting critical decisions related to stability, braking, or steering control.",0,An unauthenticated attacker can exploit improper neutralization of input during web page generation in Microsoft Dynamics 365 to spoof over a network by tricking a user to click on a link.,8.2,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,4.7,Primary,CWE-79,True,1,1,0,,,,
17,Sensor Data Spoofing or Manipulation,25,CVE-2024-3279,"Attackers inject false sensor data, such as tampering with accelerometer, gyroscope, or wheel speed sensors, potentially leading to inaccurate dynamic state calculations.","Incorrect vehicle state information can lead to improper control decisions, such as false indications of vehicle instability, triggering unnecessary corrective actions, or causing safety systems to fail.",0,"An improper access control vulnerability exists in the mintplex-labs/anything-llm application, specifically within the import endpoint. This vulnerability allows an anonymous attacker, without an account in the application, to import their own database file, leading to the deletion or spoofing of the existing `anythingllm.db` file. By exploiting this vulnerability, attackers can serve malicious data to users or collect information about them. The vulnerability stems from the application's failure to properly restrict access to the data-import functionality, allowing unauthorized database manipulation.",9.1,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,5.2,Secondary,CWE-284,False,0,1,1,,,,
19,Malicious Code Execution in Dynamic Module Firmware,25,CVE-2022-40261,"Exploitation of a software vulnerability within the firmware of the Zustand Dynamikmodul, allowing attackers to inject malicious code that alters the dynamic behavior calculations.","Code execution could allow attackers to alter dynamic control algorithms, leading to unsafe vehicle behavior, including erroneous stability control or steering interventions.",0,"An attacker can exploit this vulnerability to elevate privileges from ring 0 to ring -2, execute arbitrary code in System Management Mode - an environment more privileged than operating system (OS) and completely isolated from it. Running arbitrary code in SMM additionally bypasses SMM-based SPI flash protections against modifications, which can help an attacker to install a firmware backdoor/implant into BIOS. Such a malicious firmware code in BIOS could persist across operating system re-installs. Additionally, this vulnerability potentially could be used by malicious actors to bypass security mechanisms provided by UEFI firmware (for example, Secure Boot and some types of memory isolation for hypervisors). This issue affects: Module name: OverClockSmiHandler SHA256: a204699576e1a48ce915d9d9423380c8e4c197003baf9d17e6504f0265f3039c Module GUID: 4698C2BD-A903-410E-AD1F-5EEF3A1AE422",8.2,HIGH,LOCAL,LOW,HIGH,NONE,1.5,6,Secondary,CWE-120,True,1,1,1,,,,
